problem_id,experiment_type,iteration_0_compression_rate,iteration_1_compression_rate,iteration_2_compression_rate,iteration_3_compression_rate,iteration_4_compression_rate,seed
2024-II-14,backtracking,0.016570938139565592,0.021784927702767402,0.04131184460553171,0.0301952580195258,,0
2024-II-15,backtracking,0.03349867011717346,0.04047337278106509,0.0409688995215311,0.03600410409476728,,0
2024-II-2,backtracking,0.032692688725975826,0.07680056627145639,0.09702602230483272,0.1074800290486565,,0
2024-II-3,backtracking,0.01988388969521045,0.09839092587707729,0.09916630100921457,0.14954265049989365,,0
2024-II-4,backtracking,0.15395207931699256,0.15738831615120275,0.11866902237926973,0.13706896551724138,,0
2024-II-5,backtracking,0.0231900862381332,0.06941689805632685,0.05302070130967469,0.08807339449541285,,0
2024-II-6,backtracking,0.1333116036505867,0.13566666666666666,0.16477272727272727,0.1804214223002634,,0
2024-II-7,backtracking,0.049542379625945085,0.061136363636363635,0.024329744564070086,0.12474437627811862,,0
2024-II-8,backtracking,0.014375,0.018649284808980628,0.021070337745119738,0.029147104851330204,,0
2024-II-9,backtracking,0.0056875,0.0149375,0.022997082965877484,0.023584165664383202,,0
21,backtracking,0.07496443812233286,0.07154074332577212,0.032946370176586005,0.0748663101604278,,0
22,backtracking,0.048974008207934336,0.04601873536299766,0.10199521149241819,0.08173850831693794,,0
23,backtracking,0.09314006888633754,0.058502906976744186,0.11168442077230359,0.1399132321041215,,0
24,backtracking,0.020275824276189607,0.028338646829613887,0.03016153457849571,0.029333460112199297,,0
25,backtracking,0.03519061583577713,0.03914415302701637,0.03685201867168946,0.030089003732414583,,0
26,backtracking,0.03655598617366712,0.017464107008535828,0.07794166946027489,0.051629726205997394,,0
27,backtracking,0.025780351406020703,0.03308765877371805,0.013101144728734962,0.05350984536655913,,0
28,backtracking,0.0207248322147651,0.02338321753073223,0.051967116852613036,0.07446446786807208,,0
29,backtracking,0.01821875,0.019,0.02181500872600349,0.012941611482738915,,0
3,backtracking,0.09928443649373882,0.106465101318752,0.14541238820801589,0.07727593507410022,,0
4,backtracking,0.030319547591469646,0.037914220320429896,0.027067388463692364,0.03744163509822923,,0
5,backtracking,0.020303996997560518,0.024968789013732832,0.019877422560874606,0.08697850821744627,,0
6,backtracking,0.08373691610685831,0.10885167464114832,0.07306889352818371,0.048761807505744194,,0
7,backtracking,0.030465239228125825,0.05249260667511618,0.049347341610951924,0.03171570500573175,,0
8,backtracking,0.05872006494385063,0.10208631947762382,0.10638297872340426,0.17683322517845554,,0
9,backtracking,0.023291433400232386,0.016907758782641367,0.02512133980478959,0.027543648404575558,,0
0,base_sum,0.0687299893276414,0.12304177545691906,0.1747008547008547,0.14321608040201006,,0
1,base_sum,0.06824417009602195,0.06163453706217757,0.08996212121212122,0.15173025732031944,,0
10,base_sum,0.031153714481342007,0.033729216152019,0.032251105598101605,0.1064471879286694,,0
11,base_sum,0.03048534099582454,0.03631946553294868,0.04394457649718824,0.03000945179584121,,0
12,base_sum,0.018386838894265158,0.061704898327156164,0.05037560760053027,0.07636148382004736,,0
13,base_sum,0.05749070003381806,0.060621369032583985,0.03739034153819947,0.04266546057590834,,0
14,base_sum,0.010940597694397532,0.0397586084487043,0.05531007161359135,0.02405412177399148,,0
15,base_sum,0.15879721669980118,0.09098383118662648,0.04970303219756174,0.0672338090010977,,0
16,base_sum,0.11174512601046124,0.26859504132231404,0.21608527131782945,0.08770917484131564,,0
17,base_sum,0.01821890827236916,0.027489834488288185,0.01834175556803294,0.028901734104046242,,0
18,base_sum,0.10282574568288853,0.0171308705279105,0.03900526261479723,0.19625059326056005,,0
19,base_sum,0.0231898670363602,0.02313710259113355,0.033025815954725174,0.024816583780589888,,0
2,base_sum,0.009559804357492218,0.016002115982278648,0.024742873934763442,0.033065004760668225,,0
20,base_sum,0.03536867346064914,0.02553141652515079,0.07018046405041535,0.08491663435440093,,0
2024-I-1,base_sum,0.11334214002642008,0.1654769630110318,0.104177545691906,0.25564304461942255,,0
2024-I-10,base_sum,0.01884915151180145,0.04244314916673508,0.026617867243387123,0.010768372731562916,,0
2024-I-11,base_sum,0.028228280880161303,0.06120965396917709,0.07147850401957358,0.042104200323101776,,0
2024-I-12,base_sum,0.01187343559463449,0.0377942063971032,0.057014054627419784,0.027897191987560598,,0
2024-I-13,base_sum,0.055767684887459805,0.08178343949044586,0.0387243735763098,0.11696917314894843,,0
2024-I-14,base_sum,0.037907100907634814,0.038513819664703214,0.07272320429626315,0.05782041033839595,,0
2024-I-15,base_sum,0.042105263157894736,0.08782083543029694,0.16258688425506196,0.07312424189915093,,0
2024-I-2,base_sum,0.04906221408966148,0.0847424684159378,0.10338797814207651,0.07819247378161628,,0
2024-I-3,base_sum,0.06840148698884758,0.09723577235772357,0.14270500532481364,0.16056218057921637,,0
2024-I-4,base_sum,0.18878637331440737,0.23638968481375358,0.23618382780686445,0.2639240506329114,,0
2024-I-5,base_sum,0.031439925198690974,0.021656215657120694,0.03486417131227325,0.03902496191257471,,0
2024-I-6,base_sum,0.14600760456273765,0.05618661257606491,0.0610062893081761,0.11088242860818112,,0
2024-I-7,base_sum,0.02600866955651884,0.07262872628726287,0.08212824010914052,0.06515454747609517,,0
