problem_id,seed,experiment_type,iteration_label,compression_rate,iteration_num,iteration_display
2024-I-3,3,backtracking,iteration_0_compression_rate,0.14485538169748696,0,Iteration 1
2024-I-4,3,backtracking,iteration_0_compression_rate,0.17504332755632582,0,Iteration 1
2024-I-5,3,backtracking,iteration_0_compression_rate,0.040051171029324935,0,Iteration 1
2024-I-6,3,backtracking,iteration_0_compression_rate,0.06535319557904853,0,Iteration 1
2024-I-7,3,backtracking,iteration_0_compression_rate,0.10199897488467452,0,Iteration 1
2024-I-8,3,backtracking,iteration_0_compression_rate,0.01603082485015698,0,Iteration 1
2024-I-9,3,backtracking,iteration_0_compression_rate,0.049403747870528106,0,Iteration 1
2024-II-1,3,backtracking,iteration_0_compression_rate,0.06270292207792208,0,Iteration 1
2024-II-10,3,backtracking,iteration_0_compression_rate,0.09886363636363636,0,Iteration 1
2024-II-11,3,backtracking,iteration_0_compression_rate,0.038229209764170456,0,Iteration 1
2024-II-12,3,backtracking,iteration_0_compression_rate,0.11117886178861788,0,Iteration 1
2024-II-13,3,backtracking,iteration_0_compression_rate,0.0800149560665545,0,Iteration 1
2024-II-14,3,backtracking,iteration_0_compression_rate,0.014406217420149749,0,Iteration 1
2024-II-15,3,backtracking,iteration_0_compression_rate,0.013854097438781248,0,Iteration 1
2024-II-2,3,backtracking,iteration_0_compression_rate,0.01340625,0,Iteration 1
2024-II-3,3,backtracking,iteration_0_compression_rate,0.04933535551788741,0,Iteration 1
2024-II-4,3,backtracking,iteration_0_compression_rate,0.07694198623402163,0,Iteration 1
2024-II-5,3,backtracking,iteration_0_compression_rate,0.020114942528735632,0,Iteration 1
2024-II-6,3,backtracking,iteration_0_compression_rate,0.07039337474120083,0,Iteration 1
2024-II-7,3,backtracking,iteration_0_compression_rate,0.03302584325047532,0,Iteration 1
2024-II-8,3,backtracking,iteration_0_compression_rate,0.01646875,0,Iteration 1
2024-II-9,3,backtracking,iteration_0_compression_rate,0.023332098830749697,0,Iteration 1
21,3,backtracking,iteration_0_compression_rate,0.07467583190126542,0,Iteration 1
22,3,backtracking,iteration_0_compression_rate,0.06278633902540608,0,Iteration 1
23,3,backtracking,iteration_0_compression_rate,0.04736470825355235,0,Iteration 1
